FIR_Number,Crime_Type,District,Police_Station,Latitude,Longitude,Date,Status,IPC_Sections,Risk_Level,AI_Confidence,Prediction_Flag
KSP/SHI/2025/00802,MISSING PERSON,Shivamogga,Doddapet,13.9338,75.5346,2025-03-09 03:06:00,Charge Sheeted,Sec 363 IPC,Medium,98.0,Standard Monitoring
KSP/BEL/2025/00803,CrPC OFFENCES,Belagavi,Tilakwadi,15.8341,74.5326,2025-10-01 08:22:00,Closed,"Sec 107, 151 CrPC",Low,90.7,Standard Monitoring
KSP/BEN/2025/00804,NARCOTICS (NDPS),Bengaluru City,Jayanagar,13.03,77.5584,2025-04-13 07:02:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,92.0,High Risk Zone
KSP/KAL/2024/00805,THEFT,Kalaburagi,Station Bazar,17.3766,76.8384,2024-07-12 11:49:00,Pending,Sec 379 IPC,Medium,86.6,Standard Monitoring
KSP/BEL/2026/00806,MOTOR VEHICLE ACCIDENTS NON-FATAL,Belagavi,Khade Bazar,15.8269,74.5545,2026-03-01 08:59:00,Investigating,"Sec 279, 337 IPC",Medium,87.5,Standard Monitoring
KSP/UDU/2025/00807,HURT / ASSAULT,Udupi,Manipal,13.2725,74.7053,2025-08-01 15:41:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,92.0,High Risk Zone
KSP/BEN/2025/00808,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Koramangala,13.0125,77.6149,2025-01-26 02:17:00,Closed,"Sec 279, 337 IPC",Medium,95.8,Standard Monitoring
KSP/RAI/2026/00809,CrPC OFFENCES,Raichur,Sindhanur,16.1992,77.3692,2026-04-25 20:49:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,92.6,Standard Monitoring
KSP/DAV/2026/00810,THEFT,Davanagere,Harihar,14.473,75.9544,2026-02-19 23:09:00,Investigating,Sec 379 IPC,Medium,96.1,Standard Monitoring
KSP/BAL/2025/00811,MOTOR VEHICLE ACCIDENTS NON-FATAL,Ballari,Brucepet,15.113,76.9276,2025-01-24 22:20:00,Pending,"Sec 279, 337 IPC",Medium,96.7,Standard Monitoring
KSP/BEN/2024/00812,CrPC OFFENCES,Bengaluru City,Electronic City,12.9622,77.6157,2024-03-17 20:18:00,Investigating,"Sec 107, 151 CrPC",Low,97.6,Standard Monitoring
KSP/CHA/2025/00813,HURT / ASSAULT,Chamarajanagar,Kollegal,12.0018,76.8887,2025-10-08 09:54:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,87.3,High Risk Zone
KSP/BEN/2025/00814,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Jayanagar,12.9171,77.5532,2025-06-19 03:20:00,Investigating,"Sec 279, 337 IPC",Medium,89.0,Standard Monitoring
KSP/CHI/2025/00815,CrPC OFFENCES,Chikkaballapura,Gauribidanur,13.4907,77.6785,2025-09-14 23:42:00,Pending,"Sec 107, 151 CrPC",Low,87.3,Standard Monitoring
KSP/BEN/2025/00816,THEFT,Bengaluru City,Koramangala,12.9735,77.5821,2025-03-18 02:41:00,Solved,Sec 379 IPC,Medium,91.6,Standard Monitoring
KSP/BEN/2024/00817,BURGLARY / HOUSE BREAKING,Bengaluru City,Hebbal,12.9041,77.6404,2024-02-04 15:19:00,Investigating,"Sec 454, 457, 380 IPC",High,88.9,High Risk Zone
KSP/BID/2025/00818,BURGLARY / HOUSE BREAKING,Bidar,Bhalki,17.903,77.4625,2025-03-07 06:38:00,Pending,"Sec 454, 457, 380 IPC",High,88.4,High Risk Zone
KSP/CHI/2025/00819,CrPC OFFENCES,Chikkamagaluru,Tarikere,13.3369,75.8044,2025-02-12 09:59:00,Closed,"Sec 107, 151 CrPC",Low,95.8,Standard Monitoring
KSP/HUB/2024/00820,MOTOR VEHICLE ACCIDENTS NON-FATAL,Hubballi-Dharwad,Gokul Road,15.3616,75.1929,2024-04-27 04:30:00,Pending,"Sec 279, 337 IPC",Medium,96.6,Standard Monitoring
KSP/MAN/2025/00821,CYBER CRIME & FRAUD,Mangaluru,Barkarke,12.8972,74.8809,2025-12-24 04:23:00,Investigating,"Sec 66D IT Act, 420 IPC",High,88.8,High Risk Zone
KSP/BEN/2024/00822,NARCOTICS (NDPS),Bengaluru City,Whitefield,12.9172,77.6693,2024-03-03 18:25:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,88.9,High Risk Zone
KSP/KOL/2024/00823,HURT / ASSAULT,Kolar,Gulpet,13.1379,78.0635,2024-07-07 10:34:00,Solved,"Sec 323, 324, 504 IPC",High,88.0,High Risk Zone
KSP/BEN/2024/00824,MISSING PERSON,Bengaluru City,Electronic City,13.0018,77.6688,2024-07-11 07:34:00,Investigating,Sec 363 IPC,Medium,85.9,Standard Monitoring
KSP/BEN/2025/00825,CYBER CRIME & FRAUD,Bengaluru City,Jayanagar,12.9037,77.6497,2025-08-12 07:50:00,Investigating,"Sec 66D IT Act, 420 IPC",High,94.8,High Risk Zone
KSP/MAN/2024/00826,THEFT,Mangaluru,Urwa,12.8878,74.7999,2024-10-04 08:31:00,Pending,Sec 379 IPC,Medium,87.0,Standard Monitoring
KSP/KOL/2026/00827,ROBBERY / DACOITY,Kolar,Gulpet,13.1144,78.1998,2026-05-06 18:54:00,Solved,"Sec 392, 395 IPC",Critical,91.8,High Risk Zone
KSP/BEN/2024/00828,THEFT,Bengaluru Dist,Devanahalli,13.0978,77.6121,2024-11-02 21:38:00,Closed,Sec 379 IPC,Medium,95.8,Standard Monitoring
KSP/BEN/2025/00829,MISSING PERSON,Bengaluru Dist,Doddaballapura,13.1397,77.6178,2025-11-29 15:42:00,Charge Sheeted,Sec 363 IPC,Medium,88.7,Standard Monitoring
KSP/BEN/2026/00830,THEFT,Bengaluru City,Yelahanka,12.9188,77.6484,2026-02-05 17:44:00,Charge Sheeted,Sec 379 IPC,Medium,86.4,Standard Monitoring
KSP/HUB/2024/00831,CrPC OFFENCES,Hubballi-Dharwad,Kamripeth,15.3176,75.1602,2024-06-27 14:18:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,97.4,Standard Monitoring
KSP/BEN/2025/00832,CrPC OFFENCES,Bengaluru Dist,Doddaballapura,13.1618,77.6044,2025-07-25 18:15:00,Pending,"Sec 107, 151 CrPC",Low,90.5,Standard Monitoring
KSP/BEN/2025/00833,CrPC OFFENCES,Bengaluru City,Indiranagar,12.9953,77.54,2025-09-23 15:43:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,94.4,Standard Monitoring
KSP/BEN/2025/00834,CrPC OFFENCES,Bengaluru City,Indiranagar,12.93,77.6643,2025-06-29 22:30:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,97.7,Standard Monitoring
KSP/BEN/2025/00835,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Indiranagar,13.0478,77.6274,2025-10-22 02:56:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,98.4,Standard Monitoring
KSP/BEN/2025/00836,NARCOTICS (NDPS),Bengaluru City,Koramangala,13.0042,77.524,2025-03-03 08:03:00,Closed,"Sec 20(b), 22 NDPS Act",Critical,95.8,High Risk Zone
KSP/BEN/2026/00837,CrPC OFFENCES,Bengaluru City,Cubbon Park,12.9568,77.6071,2026-06-28 13:09:00,Solved,"Sec 107, 151 CrPC",Low,91.4,Standard Monitoring
KSP/BEN/2025/00838,KPA 1963 VIOLATIONS,Bengaluru City,Whitefield,13.0277,77.6306,2025-09-13 09:44:00,Investigating,"Sec 78, 87 KPA",Low,98.1,Standard Monitoring
KSP/TUM/2025/00839,MISSING PERSON,Tumakuru,Kyatsandra,13.3486,77.1716,2025-05-04 15:09:00,Solved,Sec 363 IPC,Medium,89.6,Standard Monitoring
KSP/BEN/2025/00840,ROBBERY / DACOITY,Bengaluru Dist,Doddaballapura,13.1137,77.5577,2025-07-28 06:53:00,Solved,"Sec 392, 395 IPC",Critical,98.1,High Risk Zone
KSP/HUB/2025/00841,CrPC OFFENCES,Hubballi-Dharwad,Gokul Road,15.4001,75.1641,2025-04-01 23:47:00,Pending,"Sec 107, 151 CrPC",Low,85.2,Standard Monitoring
KSP/BEN/2025/00842,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Koramangala,12.9717,77.656,2025-07-14 01:32:00,Closed,"Sec 279, 337 IPC",Medium,85.7,Standard Monitoring
KSP/BEN/2026/00843,ROBBERY / DACOITY,Bengaluru City,Electronic City,12.9308,77.5291,2026-05-10 21:57:00,Charge Sheeted,"Sec 392, 395 IPC",Critical,86.8,High Risk Zone
KSP/BEN/2024/00844,THEFT,Bengaluru City,Yelahanka,12.9367,77.5601,2024-10-03 03:51:00,Pending,Sec 379 IPC,Medium,93.4,Standard Monitoring
KSP/BEN/2025/00845,THEFT,Bengaluru City,Yelahanka,12.9324,77.6139,2025-07-30 00:00:00,Closed,Sec 379 IPC,Medium,86.0,Standard Monitoring
KSP/BEN/2026/00846,THEFT,Bengaluru City,Jayanagar,12.983,77.6261,2026-02-11 19:27:00,Charge Sheeted,Sec 379 IPC,Medium,93.5,Standard Monitoring
KSP/RAI/2024/00847,MOTOR VEHICLE ACCIDENTS NON-FATAL,Raichur,Manvi,16.1475,77.2773,2024-07-26 10:12:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,96.6,Standard Monitoring
KSP/KOL/2025/00848,ROBBERY / DACOITY,Kolar,Robertsonpet,13.2155,78.0723,2025-03-26 14:31:00,Investigating,"Sec 392, 395 IPC",Critical,85.9,High Risk Zone
KSP/BEN/2024/00849,THEFT,Bengaluru City,Electronic City,12.9996,77.5998,2024-08-26 08:06:00,Closed,Sec 379 IPC,Medium,93.9,Standard Monitoring
KSP/SHI/2024/00850,THEFT,Shivamogga,Doddapet,14.0041,75.5028,2024-11-17 15:13:00,Solved,Sec 379 IPC,Medium,95.0,Standard Monitoring
KSP/RAM/2025/00851,HURT / ASSAULT,Ramanagara,Magadi,12.742,77.2418,2025-06-24 14:38:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,97.7,High Risk Zone
KSP/DAV/2024/00852,MOTOR VEHICLE ACCIDENTS NON-FATAL,Davanagere,PJ Extension,14.4505,75.9264,2024-05-07 05:07:00,Investigating,"Sec 279, 337 IPC",Medium,88.1,Standard Monitoring
KSP/BEL/2026/00853,CYBER CRIME & FRAUD,Belagavi,Gokak,15.8957,74.5698,2026-01-03 10:58:00,Charge Sheeted,"Sec 66D IT Act, 420 IPC",High,90.3,High Risk Zone
KSP/BAG/2024/00854,BURGLARY / HOUSE BREAKING,Bagalkote,Jamkhandi,16.2238,75.7641,2024-05-09 22:26:00,Solved,"Sec 454, 457, 380 IPC",High,95.3,High Risk Zone
KSP/MYS/2024/00855,NARCOTICS (NDPS),Mysuru,Devaraja PS,12.2986,76.6462,2024-09-18 08:46:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,96.0,High Risk Zone
KSP/MYS/2025/00856,KPA 1963 VIOLATIONS,Mysuru,Vidyaranyapuram,12.3273,76.5996,2025-11-12 12:47:00,Investigating,"Sec 78, 87 KPA",Low,93.0,Standard Monitoring
KSP/CHI/2025/00857,KPA 1963 VIOLATIONS,Chikkamagaluru,Town PS,13.2946,75.6963,2025-01-21 21:13:00,Investigating,"Sec 78, 87 KPA",Low,92.6,Standard Monitoring
KSP/RAM/2024/00858,HURT / ASSAULT,Ramanagara,Kanakapura,12.6449,77.2996,2024-07-25 20:40:00,Investigating,"Sec 323, 324, 504 IPC",High,96.1,High Risk Zone
KSP/RAI/2025/00859,THEFT,Raichur,Sadabad,16.2416,77.4136,2025-04-20 11:53:00,Solved,Sec 379 IPC,Medium,93.5,Standard Monitoring
KSP/BEN/2025/00860,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Jayanagar,13.0347,77.6053,2025-11-04 19:53:00,Investigating,"Sec 279, 337 IPC",Medium,88.0,Standard Monitoring
KSP/BEN/2024/00861,KPA 1963 VIOLATIONS,Bengaluru Dist,Devanahalli,13.0538,77.5723,2024-04-05 02:24:00,Investigating,"Sec 78, 87 KPA",Low,96.6,Standard Monitoring
KSP/BEN/2025/00862,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru Dist,Hosakote,13.034,77.5974,2025-11-24 14:50:00,Solved,"Sec 279, 337 IPC",Medium,90.4,Standard Monitoring
KSP/BEN/2025/00863,CrPC OFFENCES,Bengaluru Dist,Nelamangala,13.1394,77.6075,2025-10-14 11:36:00,Pending,"Sec 107, 151 CrPC",Low,85.4,Standard Monitoring
KSP/RAI/2024/00864,CrPC OFFENCES,Raichur,Sadabad,16.1634,77.3405,2024-04-16 03:03:00,Solved,"Sec 107, 151 CrPC",Low,87.0,Standard Monitoring
KSP/GAD/2024/00865,HURT / ASSAULT,Gadag,Town PS,15.4888,75.6552,2024-10-30 19:10:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,89.6,High Risk Zone
KSP/BEN/2024/00866,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Hebbal,13.0378,77.643,2024-11-28 11:09:00,Closed,"Sec 279, 337 IPC",Medium,94.8,Standard Monitoring
KSP/MAN/2025/00867,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mangaluru,Barkarke,12.8555,74.8908,2025-08-22 01:22:00,Pending,"Sec 279, 337 IPC",Medium,91.9,Standard Monitoring
KSP/BEN/2026/00868,CrPC OFFENCES,Bengaluru Dist,Doddaballapura,13.0092,77.5772,2026-03-17 01:50:00,Closed,"Sec 107, 151 CrPC",Low,91.7,Standard Monitoring
KSP/HAV/2024/00869,HURT / ASSAULT,Haveri,Town PS,14.8681,75.3834,2024-01-31 16:45:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,86.2,High Risk Zone
KSP/BID/2024/00870,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bidar,Basavakalyan,17.9685,77.4509,2024-05-08 09:31:00,Investigating,"Sec 279, 337 IPC",Medium,88.5,Standard Monitoring
KSP/SHI/2024/00871,MOTOR VEHICLE ACCIDENTS NON-FATAL,Shivamogga,Vinoba Nagar,13.9075,75.5534,2024-03-15 05:18:00,Solved,"Sec 279, 337 IPC",Medium,85.9,Standard Monitoring
KSP/MAN/2024/00872,THEFT,Mangaluru,Surathkal,12.9786,74.804,2024-05-05 18:48:00,Pending,Sec 379 IPC,Medium,88.6,Standard Monitoring
KSP/BEN/2025/00873,THEFT,Bengaluru City,Yelahanka,12.9247,77.6113,2025-06-24 23:39:00,Charge Sheeted,Sec 379 IPC,Medium,98.2,Standard Monitoring
KSP/KOP/2026/00874,BURGLARY / HOUSE BREAKING,Koppal,Kushtagi,15.4124,76.184,2026-05-28 05:21:00,Investigating,"Sec 454, 457, 380 IPC",High,96.5,High Risk Zone
KSP/CHA/2025/00875,HURT / ASSAULT,Chamarajanagar,Kollegal,11.8495,76.8644,2025-03-19 11:46:00,Solved,"Sec 323, 324, 504 IPC",High,90.9,High Risk Zone
KSP/BEN/2024/00876,THEFT,Bengaluru City,Whitefield,12.9233,77.5887,2024-06-09 01:02:00,Charge Sheeted,Sec 379 IPC,Medium,87.5,Standard Monitoring
KSP/MYS/2024/00877,THEFT,Mysuru,Nazarbad,12.2863,76.6035,2024-05-15 20:25:00,Investigating,Sec 379 IPC,Medium,89.5,Standard Monitoring
KSP/BAG/2025/00878,MISSING PERSON,Bagalkote,Jamkhandi,16.2563,75.7149,2025-01-31 14:19:00,Closed,Sec 363 IPC,Medium,88.4,Standard Monitoring
KSP/BEN/2025/00879,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Indiranagar,12.9432,77.5642,2025-11-19 03:24:00,Investigating,"Sec 279, 337 IPC",Medium,86.0,Standard Monitoring
KSP/MAN/2024/00880,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mangaluru,Panambur,12.8839,74.8138,2024-07-05 08:02:00,Solved,"Sec 279, 337 IPC",Medium,89.8,Standard Monitoring
KSP/BEN/2024/00881,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Indiranagar,12.9527,77.6678,2024-02-06 06:28:00,Closed,"Sec 279, 337 IPC",Medium,87.0,Standard Monitoring
KSP/MYS/2024/00882,THEFT,Mysuru,KRS Road,12.3078,76.6436,2024-06-17 14:44:00,Solved,Sec 379 IPC,Medium,87.1,Standard Monitoring
KSP/RAI/2026/00883,MOTOR VEHICLE ACCIDENTS NON-FATAL,Raichur,Manvi,16.2178,77.2822,2026-04-06 15:20:00,Closed,"Sec 279, 337 IPC",Medium,97.9,Standard Monitoring
KSP/BEN/2025/00884,THEFT,Bengaluru Dist,Hosakote,13.1106,77.5376,2025-01-22 02:38:00,Investigating,Sec 379 IPC,Medium,87.9,Standard Monitoring
KSP/TUM/2026/00885,HURT / ASSAULT,Tumakuru,Kyatsandra,13.3443,77.0371,2026-01-21 23:53:00,Solved,"Sec 323, 324, 504 IPC",High,88.2,High Risk Zone
KSP/BEN/2026/00886,BURGLARY / HOUSE BREAKING,Bengaluru City,Indiranagar,12.9567,77.5797,2026-05-15 04:06:00,Closed,"Sec 454, 457, 380 IPC",High,85.3,High Risk Zone
KSP/BEN/2025/00887,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru Dist,Hosakote,13.1126,77.5811,2025-05-12 15:48:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,85.0,Standard Monitoring
KSP/TUM/2025/00888,HURT / ASSAULT,Tumakuru,Gubbi,13.2892,77.0376,2025-04-16 20:36:00,Closed,"Sec 323, 324, 504 IPC",High,86.7,High Risk Zone
KSP/BEN/2026/00889,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru Dist,Hosakote,13.1212,77.6628,2026-06-25 14:42:00,Investigating,"Sec 279, 337 IPC",Medium,89.5,Standard Monitoring
KSP/BEN/2024/00890,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru Dist,Nelamangala,13.1292,77.5271,2024-04-21 18:19:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,96.3,Standard Monitoring
KSP/HAV/2025/00891,CYBER CRIME & FRAUD,Haveri,Ranebennur,14.7454,75.4699,2025-04-15 09:38:00,Solved,"Sec 66D IT Act, 420 IPC",High,90.3,High Risk Zone
KSP/BEN/2025/00892,HURT / ASSAULT,Bengaluru City,Indiranagar,12.994,77.613,2025-03-30 10:35:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,96.2,High Risk Zone
KSP/HAV/2025/00893,MOTOR VEHICLE ACCIDENTS NON-FATAL,Haveri,Town PS,14.7566,75.3591,2025-10-25 00:16:00,Solved,"Sec 279, 337 IPC",Medium,89.3,Standard Monitoring
KSP/DAV/2025/00894,CYBER CRIME & FRAUD,Davanagere,PJ Extension,14.5148,75.9904,2025-01-02 16:46:00,Pending,"Sec 66D IT Act, 420 IPC",High,91.6,High Risk Zone
KSP/BEN/2025/00895,CrPC OFFENCES,Bengaluru Dist,Hosakote,13.0291,77.6036,2025-05-26 09:20:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,92.9,Standard Monitoring
KSP/BID/2026/00896,BURGLARY / HOUSE BREAKING,Bidar,Gandhi Gunj,17.9087,77.5543,2026-06-23 06:49:00,Charge Sheeted,"Sec 454, 457, 380 IPC",High,93.0,High Risk Zone
KSP/UTT/2025/00897,MISSING PERSON,Uttara Kannada,Bhatkal,14.7602,74.1075,2025-01-10 10:01:00,Investigating,Sec 363 IPC,Medium,97.1,Standard Monitoring
KSP/BEL/2024/00898,KPA 1963 VIOLATIONS,Belagavi,Market PS,15.7826,74.5332,2024-09-04 20:39:00,Investigating,"Sec 78, 87 KPA",Low,93.6,Standard Monitoring
KSP/BEN/2026/00899,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru Dist,Devanahalli,13.0181,77.5964,2026-01-19 00:42:00,Pending,"Sec 279, 337 IPC",Medium,92.3,Standard Monitoring
KSP/MAN/2024/00900,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mangaluru,Panambur,12.9355,74.7924,2024-10-22 00:01:00,Closed,"Sec 279, 337 IPC",Medium,95.5,Standard Monitoring
KSP/DAV/2026/00901,MISSING PERSON,Davanagere,Vidyanagar,14.5052,75.8773,2026-06-28 00:45:00,Closed,Sec 363 IPC,Medium,89.6,Standard Monitoring
KSP/BEN/2025/00902,BURGLARY / HOUSE BREAKING,Bengaluru Dist,Nelamangala,13.1032,77.5667,2025-12-16 12:43:00,Pending,"Sec 454, 457, 380 IPC",High,89.9,High Risk Zone
KSP/HUB/2024/00903,BURGLARY / HOUSE BREAKING,Hubballi-Dharwad,Kamripeth,15.2913,75.1851,2024-10-04 07:04:00,Investigating,"Sec 454, 457, 380 IPC",High,90.4,High Risk Zone
KSP/RAM/2024/00904,HURT / ASSAULT,Ramanagara,Kanakapura,12.7117,77.2093,2024-12-01 16:46:00,Pending,"Sec 323, 324, 504 IPC",High,85.5,High Risk Zone
KSP/TUM/2025/00905,MISSING PERSON,Tumakuru,Town PS,13.3462,77.0504,2025-02-15 14:29:00,Pending,Sec 363 IPC,Medium,93.7,Standard Monitoring
KSP/BEN/2025/00906,KPA 1963 VIOLATIONS,Bengaluru City,Hebbal,12.9018,77.5835,2025-08-24 09:31:00,Solved,"Sec 78, 87 KPA",Low,87.3,Standard Monitoring
KSP/KAL/2024/00907,HURT / ASSAULT,Kalaburagi,Ashok Nagar,17.3758,76.8278,2024-07-24 12:02:00,Pending,"Sec 323, 324, 504 IPC",High,87.0,High Risk Zone
KSP/BEN/2024/00908,CYBER CRIME & FRAUD,Bengaluru City,Whitefield,13.0137,77.5619,2024-04-04 21:59:00,Solved,"Sec 66D IT Act, 420 IPC",High,90.8,High Risk Zone
KSP/BEL/2024/00909,HURT / ASSAULT,Belagavi,Camp PS,15.8519,74.5741,2024-08-18 19:01:00,Solved,"Sec 323, 324, 504 IPC",High,86.3,High Risk Zone
KSP/RAM/2025/00910,MOTOR VEHICLE ACCIDENTS NON-FATAL,Ramanagara,Kanakapura,12.6466,77.2508,2025-03-22 10:47:00,Solved,"Sec 279, 337 IPC",Medium,97.6,Standard Monitoring
KSP/KAL/2025/00911,CrPC OFFENCES,Kalaburagi,University PS,17.2796,76.8411,2025-01-17 03:17:00,Solved,"Sec 107, 151 CrPC",Low,96.1,Standard Monitoring
KSP/BEN/2024/00912,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Cubbon Park,13.0222,77.6008,2024-05-04 15:56:00,Closed,"Sec 279, 337 IPC",Medium,96.8,Standard Monitoring
KSP/BAL/2025/00913,MOTOR VEHICLE ACCIDENTS NON-FATAL,Ballari,Hospet Town,15.1226,76.9356,2025-03-24 07:13:00,Solved,"Sec 279, 337 IPC",Medium,91.5,Standard Monitoring
KSP/CHI/2024/00914,NARCOTICS (NDPS),Chikkaballapura,Gauribidanur,13.4665,77.7038,2024-06-14 20:54:00,Closed,"Sec 20(b), 22 NDPS Act",Critical,88.9,High Risk Zone
KSP/BEN/2024/00915,CrPC OFFENCES,Bengaluru City,Electronic City,12.9,77.6256,2024-12-06 15:46:00,Investigating,"Sec 107, 151 CrPC",Low,85.3,Standard Monitoring
KSP/MYS/2025/00916,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mysuru,Devaraja PS,12.3607,76.5768,2025-12-26 17:45:00,Investigating,"Sec 279, 337 IPC",Medium,96.9,Standard Monitoring
KSP/BEN/2026/00917,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Cubbon Park,13.0336,77.6591,2026-06-21 19:40:00,Pending,"Sec 279, 337 IPC",Medium,97.8,Standard Monitoring
KSP/VIJ/2026/00918,MISSING PERSON,Vijayapura,Indi,16.8434,75.642,2026-03-31 04:48:00,Charge Sheeted,Sec 363 IPC,Medium,85.0,Standard Monitoring
KSP/VIJ/2025/00919,MOTOR VEHICLE ACCIDENTS NON-FATAL,Vijayapura,Gandhi Chowk,16.8732,75.7518,2025-03-05 16:30:00,Pending,"Sec 279, 337 IPC",Medium,85.2,Standard Monitoring
KSP/KOL/2025/00920,CrPC OFFENCES,Kolar,Bangarapet,13.199,78.13,2025-09-12 18:57:00,Pending,"Sec 107, 151 CrPC",Low,94.9,Standard Monitoring
KSP/HUB/2025/00921,THEFT,Hubballi-Dharwad,Vidyagiri,15.4118,75.147,2025-06-24 01:58:00,Investigating,Sec 379 IPC,Medium,90.0,Standard Monitoring
KSP/BEN/2025/00922,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Electronic City,12.9577,77.5587,2025-04-21 19:45:00,Pending,"Sec 279, 337 IPC",Medium,92.0,Standard Monitoring
KSP/HAS/2026/00923,NARCOTICS (NDPS),Hassan,Arsikere,13.0596,76.1388,2026-01-27 01:06:00,Investigating,"Sec 20(b), 22 NDPS Act",Critical,91.9,High Risk Zone
KSP/BEN/2026/00924,CrPC OFFENCES,Bengaluru City,Cubbon Park,13.0341,77.6602,2026-06-18 06:53:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,95.7,Standard Monitoring
KSP/BEN/2026/00925,CrPC OFFENCES,Bengaluru City,Whitefield,13.0181,77.6119,2026-05-04 06:55:00,Investigating,"Sec 107, 151 CrPC",Low,93.9,Standard Monitoring
KSP/TUM/2024/00926,NARCOTICS (NDPS),Tumakuru,Sira,13.3622,77.0857,2024-02-29 02:49:00,Pending,"Sec 20(b), 22 NDPS Act",Critical,95.7,High Risk Zone
KSP/MAN/2025/00927,CYBER CRIME & FRAUD,Mandya,Srirangapatna,12.4613,76.9109,2025-01-14 02:58:00,Closed,"Sec 66D IT Act, 420 IPC",High,97.5,High Risk Zone
KSP/UDU/2026/00928,MOTOR VEHICLE ACCIDENTS NON-FATAL,Udupi,Town PS,13.3437,74.7524,2026-05-11 00:19:00,Pending,"Sec 279, 337 IPC",Medium,98.1,Standard Monitoring
KSP/MAN/2025/00929,CrPC OFFENCES,Mangaluru,Kadri,12.9416,74.9289,2025-07-18 03:45:00,Investigating,"Sec 107, 151 CrPC",Low,88.6,Standard Monitoring
KSP/BID/2024/00930,MISSING PERSON,Bidar,Market PS,17.9481,77.5452,2024-08-05 07:31:00,Solved,Sec 363 IPC,Medium,89.7,Standard Monitoring
KSP/BEN/2024/00931,MISSING PERSON,Bengaluru City,Cubbon Park,13.0066,77.5987,2024-12-03 17:45:00,Charge Sheeted,Sec 363 IPC,Medium,94.8,Standard Monitoring
KSP/CHI/2026/00932,HURT / ASSAULT,Chitradurga,Challakere,14.1458,76.3251,2026-05-20 08:29:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,93.0,High Risk Zone
KSP/BEN/2025/00933,BURGLARY / HOUSE BREAKING,Bengaluru City,Koramangala,13.0257,77.672,2025-04-30 09:50:00,Pending,"Sec 454, 457, 380 IPC",High,97.8,High Risk Zone
KSP/MYS/2026/00934,CYBER CRIME & FRAUD,Mysuru,Devaraja PS,12.3379,76.633,2026-06-17 08:01:00,Investigating,"Sec 66D IT Act, 420 IPC",High,87.4,High Risk Zone
KSP/BEN/2025/00935,KPA 1963 VIOLATIONS,Bengaluru Dist,Nelamangala,13.0028,77.5675,2025-10-17 17:41:00,Investigating,"Sec 78, 87 KPA",Low,93.0,Standard Monitoring
KSP/BEN/2025/00936,KPA 1963 VIOLATIONS,Bengaluru Dist,Doddaballapura,13.0034,77.6351,2025-08-04 11:59:00,Pending,"Sec 78, 87 KPA",Low,96.6,Standard Monitoring
KSP/HUB/2025/00937,MISSING PERSON,Hubballi-Dharwad,Suburban PS,15.3196,75.0632,2025-02-17 02:32:00,Investigating,Sec 363 IPC,Medium,88.9,Standard Monitoring
